,x
1,Serbp1
2,Tpt1
3,Hmgb2
4,Mdk
5,Sox11
6,Eif2s2
7,Hnrnpm
8,Gpc3
9,Ywhae
10,Nap1l1
11,Nasp
12,Xist
13,Ftl1
14,Hnrnpa1
15,Pdap1
16,Tuba1b
17,Top1
18,Ranbp1
19,Nedd4
20,Srsf3
21,Ran
22,Dek
23,Hnrnpu
24,Anp32b
25,Marcks
26,Snrpe
27,Cbx1
28,Cbx3
29,Sem1
30,Hnrnpab
31,Peg3
32,Atp5k
33,Rbm39
34,Tceal9
35,Prdx2
36,Dynll1
37,Son
38,Eef1g
39,Srrm2
40,Gas5
41,Eif4a1
42,Atp5e
43,St13
44,Gng5
45,Ndufa4
46,Prpf4b
47,Nucks1
48,Top2a
49,Hmga2
50,Gm10076
51,Dnaja1
52,Calm2
53,Sumo2
54,Mest
55,Nsa2
56,Atpif1
57,Snrpf
58,Eif5b
59,Cox8a
60,Psma7
61,Prdx1
62,Slc38a2
63,Elob
64,Prrc2c
65,Sub1
66,Kcnq1ot1
67,Cfl1
68,Ccnd2
69,Nnat
70,Tcf4
71,Atp5b
72,Tut4
73,Ssb
74,Atp5h
75,Dync1i2
76,Marcksl1
77,Fubp1
78,Hmgn2
79,Pclaf
80,Fkbp3
81,Rdx
82,Atp5j2
83,Hmgb3
84,Meg3
85,Hint1
86,Cald1
87,Chd4
88,Atp5md
89,Pkm
90,Cdkn1c
91,Pdia3
92,Snrpd1
93,Eif5a
94,Hnrnpc
95,Skp1a
96,Rbm25
97,Cox7a2
98,Basp1
99,Atp5j
100,Nisch
101,Atrx
102,Slc25a4
103,Dstn
104,Fus
105,Eef2
106,Uqcrh
107,Eif3a
108,Arglu1
109,Dhx9
110,Snrpd2
111,Calm1
112,Smarca5
113,Nedd8
114,Pdia6
115,Srrm1
116,Atp5g2
117,Hnrnpd
118,Ndufb1-ps
119,Ttc3
120,Eif4g2
121,Thoc7
122,Atxn7l3b
123,Nme1
124,H2afv
125,Tomm7
126,Atp5l
127,Tra2b
128,Snrnp70
129,Snrpd3
130,Cbx5
131,Srsf2
132,Uba52
133,H2afy
134,Psip1
135,Hnrnph1
136,Atp5mpl
137,Cct6a
138,Anp32a
139,Dbi
140,Hnrnpf
141,Fxr1
142,Fabp5
143,Ndufc1
144,Zfhx3
145,Tma7
146,Pfdn5
147,Caprin1
148,Atp5a1
149,Eif3c
150,Smarcc1
151,Vcan
152,Rsrc2
153,Taf1d
154,Srsf7
155,Pdcd5
156,Ptges3
157,Csnk1a1
158,Rbm3
159,Scd2
160,Eif3j1
161,Cox6b1
162,Eef1d
163,Psmc3
164,Sarnp
165,Metap2
166,Hnrnpdl
167,Rbx1
