,names.1,names.2,names.3,names.4,names.5,names.6,names.7,names.8,names.9,names.10,names.11,names.12,names.13,names.14,scores.1,scores.2,scores.3,scores.4,scores.5,scores.6,scores.7,scores.8,scores.9,scores.10,scores.11,scores.12,scores.13,scores.14
1,Lars2,Rtl3,Hand1,Emx2,Osr2,Pax3,Irx3,Ptprz1,Pax9,Nr5a2,Hist2h2ac,Pcdh10,Acta2,Cdh5,0.00119566673060612,0.0773135404184456,0.0364719041769834,0.154157472811929,0.152402346018827,0.0494101821550438,0.00422420746669602,0.00172660863850622,0.00861051219407489,0.0221904053242299,0.00166847058089834,0.00100258458457443,0.365322337681716,0.463172849454275
2,Scd2,Cavin2,Alx1,Emx2os,Shox2,Gm43376,Epha3,Mecom,Fxyd7,Maf,Hist1h2ap,A830018L16Rik,Lhx2,Adgrf5,0.00089839922502409,0.0345274679427,0.0286921608892842,0.0650516758161214,0.0464275099437478,0.0280726795758074,0.00399575982105551,0.00150464384073137,0.00853854275571265,0.00479182981869751,0.00117268126958902,0.000645239435689026,0.267284380376869,0.39753689732606
3,Pdia6,Foxf1,Rgcc,Bmper,Cdh6,Cxcl14,Bnc1,Gpr50,Slc1a3,Pkdcc,Hist1h1b,Tfap2c,Myf5,Emcn,0.000854066451582089,0.0332670441892536,0.0208536002192121,0.02947298296054,0.0286654710312705,0.0256317188053448,0.00388977265424193,0.00104064005450132,0.00354972691078817,0.00194133987824531,0.00117016803857176,0.000638537047941986,0.227546000071733,0.37832566154719
4,Mt1,Foxd2os,Dkk1,3110099E03Rik,Smoc2,Vegfd,Scube1,Pcdh7,Sfrp2,Col9a1,Hist1h1a,Lhx6,Pitx2,S100a16,0.000834558350292661,0.031007433142542,0.00907523028095995,0.0206348774214727,0.0138480398745658,0.0200127649506835,0.0033803095869071,0.000805608866071754,0.00306155664907921,0.00171828695984668,0.00116071345114946,0.000595468734100309,0.222642698934714,0.342051682493645
5,Col3a1,Plagl1,Alx3,Gbx2,Efemp1,Msx1,2700069I18Rik,Amot,Barx1,Gsc,Hist1h2br,Tril,Barx2,Icam2,0.000819708364473523,0.0287082601555577,0.00509453933179658,0.0199970400049508,0.0117153826292089,0.00497421551845414,0.00331734239333465,0.000784855430515555,0.00260227450524862,0.00152980399263307,0.0011182476856745,0.000557534312509843,0.152645960601426,0.338886831563751
6,Gpc3,Syt6,Mpped2,Dclk1,Ptx3,Col24a1,Zfp503,Dlk1,Gm26771,Tshz1,Hist1h1e,Slitrk6,Vgll3,Apold1,0.000803022892872965,0.0252271529035784,0.00348062318865139,0.00981092705833638,0.00901857784186136,0.00407198432431851,0.00280511476123792,0.000769809378589772,0.00186799473925577,0.00148803751036521,0.00109970922517864,0.000538651394378387,0.127926505550034,0.336447514185453
7,Pdia3,Npr3,Gata3,Tafa2,Aldh1a2,Asns,Irx5,Pitx1,Sox9,Meis1,Hist2h2bb,Rnf182,Neb,Esam,0.000789508541009964,0.0248745233732797,0.00303839477211707,0.00667571527673955,0.00734772554841274,0.00385846244552202,0.00215870421102317,0.000763885916958064,0.00180274152189319,0.00122661776007145,0.00109598981451728,0.000521243142946245,0.119300422058779,0.328795177880558
8,Top1,Fendrr,AW551984,Adarb2,Pcdh9,Msx2,Gm29101,Frzb,Prss23,Kit,Hist1h3i,Crym,Parm1,Cd93,0.000721781974811705,0.0242119907604649,0.00293707895343085,0.0058346205954729,0.00681808831475764,0.00360109133034947,0.00180875828407067,0.000608311457132228,0.00153574246155794,0.00106212524463319,0.00104327682822736,0.000488371064785475,0.0589414357275083,0.324984339565764
9,Igf2,Foxd2,5033428I22Rik,Rgs2,Il1rapl1,Lix1,Zfhx3,Peg10,Spry1,Sema6a,Hist1h2ae,Lhx8,Chrdl1,Kcne3,0.000719062276893085,0.0239832457607499,0.00256320690101225,0.00539322221499779,0.00556389789461229,0.0031663974574706,0.00179744566798974,0.000571721962787214,0.00146342740431844,0.000927879282478962,0.00102457131160263,0.000479120937618334,0.040029266742564,0.319170505483428
10,Xist,Ebf2,Tgfb2,Kctd12,Fibin,Lrrn3,Twist2,Peg3,Crym,Gm10000,Hist1h1d,1500009L16Rik,Igfbp5,Pdgfb,0.000717153709858131,0.0172540175336186,0.00249910236513274,0.00468851137914489,0.00431350910219219,0.00300550722580427,0.00178202780059085,0.000537807862801981,0.00138169818112636,0.000746086903224858,0.000995691844787477,0.000469401721241207,0.0269315395927679,0.314660676119586
