"","x"
"1","Igf2"
"2","Rtl3"
"3","Cavin2"
"4","Foxf1"
"5","Foxd2os"
"6","Syt6"
"7","Fendrr"
"8","Foxd2"
"9","Ebf2"
"10","Magel2"
"11","Mme"
"12","Zim1"
"13","Fst"
"14","Satb2"
"15","Phactr2"
"16","Pmp22"
"17","Itm2a"
"18","Adam23"
"19","Usp29"
"20","Arhgap24"
"21","Ptch1"
"22","Rian"
"23","Foxf2"
"24","Pitx2"
"25","Sox2"
"26","Shh"
"27","Lpar4"
"28","Meis2"
"29","Zdbf2"
"30","Peg3"
"31","Meg3"
"32","Hand2os1"
"33","Hand1"
"34","Alx1"
"35","Rgcc"
"36","Dkk1"
"37","Alx3"
"38","Mpped2"
"39","Gata3"
"40","AW551984"
"41","Tgfb2"
"42","Ndnf"
"43","Gadd45g"
"44","Alx4"
"45","Hand2"
"46","Lrrc17"
"47","Creb5"
"48","Gja1"
"49","Cdo1"
"50","Ahnak"
"51","Aopep"
"52","Cachd1"
"53","Sostdc1"
"54","Mab21l2"
"55","Kif26b"
"56","Ebf3"
"57","Tra2b"
"58","Fus"
"59","Taf1d"
"60","Hnrnpa1"
"61","Rbm39"
"62","Caprin1"
"63","Nucks1"
"64","Nedd4"
"65","Atp5a1"
"66","Tuba1b"
"67","Emx2"
"68","Emx2os"
"69","Bmper"
"70","Gbx2"
"71","Dclk1"
"72","Tafa2"
"73","Adarb2"
"74","Rgs2"
"75","Kctd12"
"76","Foxc1"
"77","Pou3f3"
"78","Foxp2"
"79","Pantr1"
"80","Efnb2"
"81","Bmpr1b"
"82","Pcdh19"
"83","Tmtc2"
"84","Foxc2"
"85","Dlx3"
"86","Dlx6os1"
"87","Foxp4"
"88","Cthrc1"
"89","Homer2"
"90","Rab11fip2"
"91","Dlx2"
"92","Sox11"
"93","Eef2"
"94","Osr2"
"95","Shox2"
"96","Cdh6"
"97","Smoc2"
"98","Efemp1"
"99","Ptx3"
"100","Aldh1a2"
"101","Pcdh9"
"102","Il1rapl1"
"103","Fibin"
"104","Meox2"
"105","Rspo3"
"106","Zmat4"
"107","Osr1"
"108","Slit2"
"109","Lsp1"
"110","Gxylt2"
"111","Slc16a2"
"112","Cask"
"113","Fez1"
"114","Trps1"
"115","Nr2f2"
"116","Tmem59l"
"117","Btbd3"
"118","Spry2"
"119","Sema5a"
"120","Slf1"
"121","Nap1l2"
"122","Dkk2"
"123","Tbx2"
"124","Gria3"
"125","Man2a1"
"126","Tmem108"
"127","Sh3gl3"
"128","Eef1d"
"129","Atpif1"
"130","Pkm"
"131","Msx2"
"132","Msx1"
"133","Prrx2"
"134","Wnt5a"
"135","Lix1"
"136","Fzd10os"
"137","Id2"
"138","Pax3"
"139","Cxcl14"
"140","Vegfd"
"141","Asns"
"142","Lrrn3"
"143","Lef1"
"144","Unc5b"
"145","Bmp4"
"146","Plaat3"
"147","Samd5"
"148","Runx2"
"149","Fgd6"
"150","Ankrd12"
"151","Sulf1"
"152","Frmd6"
"153","Smco4"
"154","Mllt3"
"155","Scd2"
"156","Igf1"
"157","Irx3"
"158","Epha3"
"159","Bnc1"
"160","Scube1"
"161","Zfp503"
"162","Irx5"
"163","Zfhx3"
"164","Twist2"
